Value,age,id,group,cluster,word,SSP,word_type,position,word_freq,cluster_freq,word_length,cluster_length,Reading.time
мщение,22,8eb840c4385c695796ed811242c7f35e,A,мщ,мщение,nSSP,word,start,1.2,1.2,6,2,1738
рыба,22,8eb840c4385c695796ed811242c7f35e,A,None,рыба,filler,word,filler,86,None,4,None,2048
куча,22,8eb840c4385c695796ed811242c7f35e,A,None,куча,filler,word,filler,40.4,None,4,None,1568
блеск,22,8eb840c4385c695796ed811242c7f35e,A,ск,блеск,SSP,word,end,29.7,568.9,5,2,1126
обед,22,8eb840c4385c695796ed811242c7f35e,A,None,обед,filler,word,filler,69.7,None,4,None,1198
слайд,22,8eb840c4385c695796ed811242c7f35e,A,сл,слайд,SSP,word,start,1.7,6393,5,2,913
кедр,22,8eb840c4385c695796ed811242c7f35e,A,др,кедр,nSSP,word,end,6.1,73.4,4,2,1000
мгла,22,8eb840c4385c695796ed811242c7f35e,A,мгл,мгла,nSSP,word,start,8.1,9.1,4,3,1301
министр,22,8eb840c4385c695796ed811242c7f35e,A,стр,министр,nSSP,word,end,154.1,249.6,7,3,1220
соблазн,22,8eb840c4385c695796ed811242c7f35e,A,зн,соблазн,nSSP,word,end,13.2,13.2,7,2,1046
жезл,22,8eb840c4385c695796ed811242c7f35e,A,зл,жезл,nSSP,word,end,3.5,3.5,4,2,1070
спектр,22,8eb840c4385c695796ed811242c7f35e,A,ктр,спектр,nSSP,word,end,27,27,6,3,1510
пакет,22,8eb840c4385c695796ed811242c7f35e,A,None,пакет,filler,word,filler,65.8,None,5,None,943
киборг,22,8eb840c4385c695796ed811242c7f35e,A,рг,киборг,SSP,word,end,0.6,158,6,2,936
двойник,22,8eb840c4385c695796ed811242c7f35e,A,дв,двойник,SSP,word,start,8,3166,7,2,1012
смысл,22,8eb840c4385c695796ed811242c7f35e,A,сл,смысл,nSSP,word,end,294.6,294.6,5,2,935
сторож,22,8eb840c4385c695796ed811242c7f35e,A,None,сторож,filler,word,filler,14.4,None,6,None,1014
холст,22,8eb840c4385c695796ed811242c7f35e,A,лст,холст,SSP,word,end,8.9,8.9,5,3,1748
организм,22,8eb840c4385c695796ed811242c7f35e,A,зм,организм,nSSP,word,end,80.6,725.1,8,2,757
степь,22,8eb840c4385c695796ed811242c7f35e,A,ст,степь,SSP,word,start,29.6,9964.8,5,2,1070
волк,22,8eb840c4385c695796ed811242c7f35e,A,лк,волк,SSP,word,end,36.1,133,4,2,818
льдина,22,8eb840c4385c695796ed811242c7f35e,A,льд,льдина,nSSP,word,start,6.1,8.6,6,2,776
песнь,22,8eb840c4385c695796ed811242c7f35e,A,снь,песнь,nSSP,word,end,18.7,18.7,5,2,1048
штраф,22,8eb840c4385c695796ed811242c7f35e,A,штр,штраф,SSP,word,start,32.3,51.1,5,3,948
динозавр,22,8eb840c4385c695796ed811242c7f35e,A,вр,динозавр,nSSP,word,end,3.1,43.2,8,2,1211
восхолк,22,8eb840c4385c695796ed811242c7f35e,A,лк,восхолк,SSP,pseudoword,end,None,133,4,2,3124
язнь,22,8eb840c4385c695796ed811242c7f35e,A,знь,язнь,nSSP,pseudoword,end,None,1548.5,7,2,2270
носудр,22,8eb840c4385c695796ed811242c7f35e,A,др,носудр,nSSP,pseudoword,end,None,73.4,4,2,1270
мгнинул,22,8eb840c4385c695796ed811242c7f35e,A,мгл,мгнинул,nSSP,pseudoword,start,None,9.1,4,3,3493
нораха,22,8eb840c4385c695796ed811242c7f35e,A,None,нораха,filler,pseudoword,filler,None,None,6,None,1217
герищав,22,8eb840c4385c695796ed811242c7f35e,A,None,герищав,filler,pseudoword,filler,None,None,7,None,2678
слаш,22,8eb840c4385c695796ed811242c7f35e,A,сл,слаш,SSP,pseudoword,start,None,6393,5,2,1589
физл,22,8eb840c4385c695796ed811242c7f35e,A,зл,физл,nSSP,pseudoword,end,None,3.5,4,2,1064
косторг,22,8eb840c4385c695796ed811242c7f35e,A,рг,косторг,SSP,pseudoword,end,None,158,6,2,1427
глен,22,8eb840c4385c695796ed811242c7f35e,A,гл,глен,SSP,pseudoword,start,None,2880.4,4,2,982
вущавль,22,8eb840c4385c695796ed811242c7f35e,A,вль,вущавль,nSSP,pseudoword,end,None,5.2,7,2,1096
цвоп,22,8eb840c4385c695796ed811242c7f35e,A,цв,цвоп,SSP,pseudoword,start,None,369.3,6,2,1296
стаху,22,8eb840c4385c695796ed811242c7f35e,A,ст,стаху,SSP,pseudoword,start,None,9964.8,5,2,910
нощага,22,8eb840c4385c695796ed811242c7f35e,A,None,нощага,filler,pseudoword,filler,None,None,6,None,1121
двурь,22,8eb840c4385c695796ed811242c7f35e,A,дв,двурь,SSP,pseudoword,start,None,3166,7,2,1173
мздырмыг,22,8eb840c4385c695796ed811242c7f35e,A,мзд,мздырмыг,nSSP,pseudoword,start,None,2.7,4,3,1734
льгысет,22,8eb840c4385c695796ed811242c7f35e,A,льг,льгысет,nSSP,pseudoword,start,None,38.6,6,2,2015
вихатор,22,8eb840c4385c695796ed811242c7f35e,A,None,вихатор,filler,pseudoword,filler,None,None,7,None,955
кулоктр,22,8eb840c4385c695796ed811242c7f35e,A,ктр,кулоктр,nSSP,pseudoword,end,None,27,6,3,1461
ликостр,22,8eb840c4385c695796ed811242c7f35e,A,стр,ликостр,nSSP,pseudoword,end,None,249.6,7,3,1037
мщикус,22,8eb840c4385c695796ed811242c7f35e,A,мщ,мщикус,nSSP,pseudoword,start,None,1.2,6,2,1011
щавила,22,8eb840c4385c695796ed811242c7f35e,A,None,щавила,filler,pseudoword,filler,None,None,6,None,2149
хущаск,22,8eb840c4385c695796ed811242c7f35e,A,ск,хущаск,SSP,pseudoword,end,None,568.9,5,2,1488
ниял,22,8eb840c4385c695796ed811242c7f35e,A,None,ниял,filler,pseudoword,filler,None,None,4,None,1700
уфилст,22,8eb840c4385c695796ed811242c7f35e,A,лст,уфилст,SSP,pseudoword,end,None,8.9,5,3,1177
вирб,22,8eb840c4385c695796ed811242c7f35e,A,рб,вирб,SSP,pseudoword,end,None,56.1,4,2,866
шанавр,22,8eb840c4385c695796ed811242c7f35e,A,вр,шанавр,nSSP,pseudoword,end,None,43.2,8,2,848
ашомп,22,8eb840c4385c695796ed811242c7f35e,A,мп,ашомп,SSP,pseudoword,end,None,63.1,4,2,1513
мгнус,22,8eb840c4385c695796ed811242c7f35e,A,мгн,мгнус,nSSP,pseudoword,start,None,113.6,9,3,1277
кусоратуз,22,8eb840c4385c695796ed811242c7f35e,A,None,кусоратуз,filler,pseudoword,filler,None,None,9,None,1466
щуснь,22,8eb840c4385c695796ed811242c7f35e,A,снь,щуснь,nSSP,pseudoword,end,None,18.7,5,2,927
якузн,22,8eb840c4385c695796ed811242c7f35e,A,зн,якузн,nSSP,pseudoword,end,None,13.2,7,2,520
нокортс,22,8eb840c4385c695796ed811242c7f35e,A,ртс,нокортс,SSP,pseudoword,end,None,0.4,5,3,1328
штран,22,8eb840c4385c695796ed811242c7f35e,A,штр,штран,SSP,pseudoword,start,None,51.1,5,3,1198
люфизм,22,8eb840c4385c695796ed811242c7f35e,A,зм,люфизм,nSSP,pseudoword,end,None,725.1,8,2,848
шокесл,22,8eb840c4385c695796ed811242c7f35e,A,сл,шокесл,nSSP,pseudoword,end,None,294.6,5,2,563
ржавчина,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рж,ржавчина,nSSP,word,start,4.2,31.1,8,2,647
столб,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,лб,столб,SSP,word,end,32.7,33.1,5,2,418
поезд,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,зд,поезд,SSP,word,end,93.3,363.2,5,2,463
абсурд,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рд,абсурд,SSP,word,end,9.1,132.5,6,2,437
хлыст,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ст,хлыст,SSP,word,end,2.8,2163.2,5,2,626
ансамбль,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мбль,ансамбль,nSSP,word,end,21.7,21.7,8,3,962
носок,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,носок,filler,word,filler,25.2,None,5,None,815
город,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,город,filler,word,filler,573.4,None,5,None,629
корова,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,корова,filler,word,filler,44.8,None,6,None,525
скунс,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,нс,скунс,SSP,word,end,0.5,179.5,5,2,872
инфаркт,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ркт,инфаркт,SSP,word,end,11.6,11.6,7,3,703
вихрь,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,хрь,вихрь,nSSP,word,end,9.7,9.7,5,2,404
бассейн,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,йн,бассейн,SSP,word,end,33.4,77.5,7,2,522
центр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,нтр,центр,nSSP,word,end,265.9,281.5,5,3,530
трагедия,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,тр,трагедия,SSP,word,start,45.7,4601.6,8,2,478
краб,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,кр,краб,SSP,word,start,7.9,4723.9,4,2,439
театр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,тр,театр,nSSP,word,end,305.3,792,5,2,424
шквал,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,шкв,шквал,SSP,word,start,3.4,4.2,5,3,556
дыня,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,дыня,filler,word,filler,4.1,None,4,None,329
тигр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,гр,тигр,nSSP,word,end,15.2,29.7,4,2,353
мотоцикл,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,кл,мотоцикл,nSSP,word,end,18.4,69.5,8,2,332
порошок,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,порошок,filler,word,filler,16.8,None,7,None,364
мститель,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мст,мститель,nSSP,word,start,1.9,15.9,8,3,360
лжец,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,лж,лжец,nSSP,word,start,1.9,10.1,4,2,405
тембр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мбр,тембр,nSSP,word,end,3.4,3.4,5,3,382
рванина,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рв,рванина,nSSP,word,start,0.4,100.9,7,2,364
триумф,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мф,триумф,SSP,word,end,9.3,9.3,6,2,381
рубль,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,бль,рубль,nSSP,word,end,296.4,416.2,5,2,339
склон,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,скл,склон,SSP,word,start,26.3,262.9,5,3,329
цилиндр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ндр,цилиндр,nSSP,word,end,12.5,16.6,7,3,310
льстец,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,льст,льстец,nSSP,word,start,0.7,6.7,6,3,306
вратарь,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,вр,вратарь,SSP,word,start,4.8,3016.4,7,2,363
ртуть,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рт,ртуть,nSSP,word,start,3.7,7.9,5,2,481
право,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,пр,право,SSP,word,start,461.4,36041.9,5,2,329
спектакль,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,кль,спектакль,nSSP,word,end,164.7,178,9,2,459
ствол,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ств,ствол,SSP,word,start,49.5,61.9,5,3,368
егерь,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,егерь,filler,word,filler,3.7,None,5,None,309
табурет,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,табурет,filler,word,filler,7.3,None,7,None,444
лурян,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,лурян,filler,pseudoword,filler,None,None,5,None,995
трацеп,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,тр,трацеп,SSP,pseudoword,start,None,4601.6,8,2,372
врамус,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,вр,врамус,SSP,pseudoword,start,None,3016.4,7,2,788
фофард,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рд,фофард,SSP,pseudoword,end,None,132.5,6,2,714
крак,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,кр,крак,SSP,pseudoword,start,None,4723.9,4,2,702
поратух,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,поратух,filler,pseudoword,filler,None,None,7,None,1067
шомбр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мбр,шомбр,nSSP,pseudoword,end,None,3.4,5,3,816
щутонс,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,нс,щутонс,SSP,pseudoword,end,None,179.5,5,2,670
нокейн,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,йн,нокейн,SSP,pseudoword,end,None,77.5,7,2,647
фунтр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,нтр,фунтр,nSSP,pseudoword,end,None,281.5,5,3,614
склус,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,скл,склус,SSP,pseudoword,start,None,262.9,5,3,1263
сигузд,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,зд,сигузд,SSP,pseudoword,end,None,363.2,5,2,720
зовамф,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мф,зовамф,SSP,pseudoword,end,None,9.3,6,2,527
вигокль,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,кль,вигокль,nSSP,pseudoword,end,None,178,9,2,669
торибль,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,бль,торибль,nSSP,pseudoword,end,None,416.2,5,2,702
ипогр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,гр,ипогр,nSSP,pseudoword,end,None,29.7,4,2,852
вудалб,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,лб,вудалб,SSP,pseudoword,end,None,33.1,5,2,629
льстыр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,льст,льстыр,nSSP,pseudoword,start,None,6.7,6,3,602
коромбль,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мбль,коромбль,nSSP,pseudoword,end,None,21.7,8,3,585
мстунит,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,мст,мстунит,nSSP,pseudoword,start,None,15.9,8,3,1137
шейун,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,шейун,filler,pseudoword,filler,None,None,5,None,568
жакл,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,кл,жакл,nSSP,pseudoword,end,None,69.5,8,2,444
гощара,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,гощара,filler,pseudoword,filler,None,None,6,None,609
анакондр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ндр,анакондр,nSSP,pseudoword,end,None,16.6,7,3,717
инихрь,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,хрь,инихрь,nSSP,pseudoword,end,None,9.7,5,2,616
ртос,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рт,ртос,nSSP,pseudoword,start,None,7.9,5,2,379
югост,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ст,югост,SSP,pseudoword,end,None,2163.2,5,2,421
ствонет,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ств,ствонет,SSP,pseudoword,start,None,61.9,5,3,592
кугора,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,кугора,filler,pseudoword,filler,None,None,6,None,383
визун,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,None,визун,filler,pseudoword,filler,None,None,5,None,584
рвыкут,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рв,рвыкут,nSSP,pseudoword,start,None,100.9,7,2,466
моркт,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,ркт,моркт,SSP,pseudoword,end,None,11.6,7,3,404
кузетр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,тр,кузетр,nSSP,pseudoword,end,None,792,5,2,563
прен,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,пр,прен,SSP,pseudoword,start,None,36041.9,5,2,403
шквурм,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,шкв,шквурм,SSP,pseudoword,start,None,4.2,5,3,368
ржыр,22,8a1b2723bcab64bdcf79687fa7da4b3e,B,рж,ржыр,nSSP,pseudoword,start,None,31.1,8,2,406
мщение,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мщ,мщение,nSSP,word,start,1.2,1.2,6,2,1113
цветок,22,f65dfead26ad4c2e57bd1eead2691ef4,A,цв,цветок,SSP,word,start,92.4,369.3,6,2,552
министр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,стр,министр,nSSP,word,end,154.1,249.6,7,3,752
кот,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,кот,filler,word,filler,40.3,None,3,None,488
смысл,22,f65dfead26ad4c2e57bd1eead2691ef4,A,сл,смысл,nSSP,word,end,294.6,294.6,5,2,433
мгла,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мгл,мгла,nSSP,word,start,8.1,9.1,4,3,567
холст,22,f65dfead26ad4c2e57bd1eead2691ef4,A,лст,холст,SSP,word,end,8.9,8.9,5,3,520
спектр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ктр,спектр,nSSP,word,end,27,27,6,3,648
рыба,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,рыба,filler,word,filler,86,None,4,None,464
киборг,22,f65dfead26ad4c2e57bd1eead2691ef4,A,рг,киборг,SSP,word,end,0.6,158,6,2,592
болезнь,22,f65dfead26ad4c2e57bd1eead2691ef4,A,знь,болезнь,nSSP,word,end,109.6,1548.5,7,2,600
велосипед,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,велосипед,filler,word,filler,23.1,None,9,None,632
слайд,22,f65dfead26ad4c2e57bd1eead2691ef4,A,сл,слайд,SSP,word,start,1.7,6393,5,2,441
глаз,22,f65dfead26ad4c2e57bd1eead2691ef4,A,гл,глаз,SSP,word,start,857.6,2880.4,4,2,416
жезл,22,f65dfead26ad4c2e57bd1eead2691ef4,A,зл,жезл,nSSP,word,end,3.5,3.5,4,2,528
обед,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,обед,filler,word,filler,69.7,None,4,None,464
организм,22,f65dfead26ad4c2e57bd1eead2691ef4,A,зм,организм,nSSP,word,end,80.6,725.1,8,2,584
льгота,22,f65dfead26ad4c2e57bd1eead2691ef4,A,льг,льгота,nSSP,word,start,28.8,38.6,6,2,392
динозавр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,вр,динозавр,nSSP,word,end,3.1,43.2,8,2,576
песнь,22,f65dfead26ad4c2e57bd1eead2691ef4,A,снь,песнь,nSSP,word,end,18.7,18.7,5,2,439
куча,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,куча,filler,word,filler,40.4,None,4,None,535
двойник,22,f65dfead26ad4c2e57bd1eead2691ef4,A,дв,двойник,SSP,word,start,8,3166,7,2,608
волк,22,f65dfead26ad4c2e57bd1eead2691ef4,A,лк,волк,SSP,word,end,36.1,133,4,2,440
сторож,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,сторож,filler,word,filler,14.4,None,6,None,560
соблазн,22,f65dfead26ad4c2e57bd1eead2691ef4,A,зн,соблазн,nSSP,word,end,13.2,13.2,7,2,832
темп,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мп,темп,SSP,word,end,49,63.1,4,2,592
степь,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ст,степь,SSP,word,start,29.6,9964.8,5,2,528
льдина,22,f65dfead26ad4c2e57bd1eead2691ef4,A,льд,льдина,nSSP,word,start,6.1,8.6,6,2,703
штраф,22,f65dfead26ad4c2e57bd1eead2691ef4,A,штр,штраф,SSP,word,start,32.3,51.1,5,3,568
мгновение,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мгн,мгновение,nSSP,word,start,55.1,113.6,9,3,689
дартс,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ртс,дартс,SSP,word,end,0.4,0.4,5,3,657
журавль,22,f65dfead26ad4c2e57bd1eead2691ef4,A,вль,журавль,nSSP,word,end,5.2,5.2,7,2,784
блеск,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ск,блеск,SSP,word,end,29.7,568.9,5,2,568
герб,22,f65dfead26ad4c2e57bd1eead2691ef4,A,рб,герб,SSP,word,end,7.7,56.1,4,2,576
мзда,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мзд,мзда,nSSP,word,start,1.5,2.7,4,3,536
кедр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,др,кедр,nSSP,word,end,6.1,73.4,4,2,513
пакет,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,пакет,filler,word,filler,65.8,None,5,None,504
шокесл,22,f65dfead26ad4c2e57bd1eead2691ef4,A,сл,шокесл,nSSP,pseudoword,end,None,294.6,5,2,432
мздырмыг,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мзд,мздырмыг,nSSP,pseudoword,start,None,2.7,4,3,753
стаху,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ст,стаху,SSP,pseudoword,start,None,9964.8,5,2,895
уфилст,22,f65dfead26ad4c2e57bd1eead2691ef4,A,лст,уфилст,SSP,pseudoword,end,None,8.9,5,3,1096
щавила,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,щавила,filler,pseudoword,filler,None,None,6,None,793
штран,22,f65dfead26ad4c2e57bd1eead2691ef4,A,штр,штран,SSP,pseudoword,start,None,51.1,5,3,681
мщикус,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мщ,мщикус,nSSP,pseudoword,start,None,1.2,6,2,944
слаш,22,f65dfead26ad4c2e57bd1eead2691ef4,A,сл,слаш,SSP,pseudoword,start,None,6393,5,2,681
глен,22,f65dfead26ad4c2e57bd1eead2691ef4,A,гл,глен,SSP,pseudoword,start,None,2880.4,4,2,569
косторг,22,f65dfead26ad4c2e57bd1eead2691ef4,A,рг,косторг,SSP,pseudoword,end,None,158,6,2,640
мгнус,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мгн,мгнус,nSSP,pseudoword,start,None,113.6,9,3,663
вирб,22,f65dfead26ad4c2e57bd1eead2691ef4,A,рб,вирб,SSP,pseudoword,end,None,56.1,4,2,576
двурь,22,f65dfead26ad4c2e57bd1eead2691ef4,A,дв,двурь,SSP,pseudoword,start,None,3166,7,2,496
кулоктр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ктр,кулоктр,nSSP,pseudoword,end,None,27,6,3,985
цвоп,22,f65dfead26ad4c2e57bd1eead2691ef4,A,цв,цвоп,SSP,pseudoword,start,None,369.3,6,2,616
мгнинул,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мгл,мгнинул,nSSP,pseudoword,start,None,9.1,4,3,1287
физл,22,f65dfead26ad4c2e57bd1eead2691ef4,A,зл,физл,nSSP,pseudoword,end,None,3.5,4,2,521
герищав,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,герищав,filler,pseudoword,filler,None,None,7,None,1153
нокортс,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ртс,нокортс,SSP,pseudoword,end,None,0.4,5,3,872
ниял,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,ниял,filler,pseudoword,filler,None,None,4,None,640
восхолк,22,f65dfead26ad4c2e57bd1eead2691ef4,A,лк,восхолк,SSP,pseudoword,end,None,133,4,2,768
вущавль,22,f65dfead26ad4c2e57bd1eead2691ef4,A,вль,вущавль,nSSP,pseudoword,end,None,5.2,7,2,696
щуснь,22,f65dfead26ad4c2e57bd1eead2691ef4,A,снь,щуснь,nSSP,pseudoword,end,None,18.7,5,2,560
ликостр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,стр,ликостр,nSSP,pseudoword,end,None,249.6,7,3,823
якузн,22,f65dfead26ad4c2e57bd1eead2691ef4,A,зн,якузн,nSSP,pseudoword,end,None,13.2,7,2,424
нощага,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,нощага,filler,pseudoword,filler,None,None,6,None,712
вихатор,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,вихатор,filler,pseudoword,filler,None,None,7,None,640
язнь,22,f65dfead26ad4c2e57bd1eead2691ef4,A,знь,язнь,nSSP,pseudoword,end,None,1548.5,7,2,712
хущаск,22,f65dfead26ad4c2e57bd1eead2691ef4,A,ск,хущаск,SSP,pseudoword,end,None,568.9,5,2,664
шанавр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,вр,шанавр,nSSP,pseudoword,end,None,43.2,8,2,679
ашомп,22,f65dfead26ad4c2e57bd1eead2691ef4,A,мп,ашомп,SSP,pseudoword,end,None,63.1,4,2,528
льгысет,22,f65dfead26ad4c2e57bd1eead2691ef4,A,льг,льгысет,nSSP,pseudoword,start,None,38.6,6,2,1616
люфизм,22,f65dfead26ad4c2e57bd1eead2691ef4,A,зм,люфизм,nSSP,pseudoword,end,None,725.1,8,2,752
нораха,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,нораха,filler,pseudoword,filler,None,None,6,None,712
носудр,22,f65dfead26ad4c2e57bd1eead2691ef4,A,др,носудр,nSSP,pseudoword,end,None,73.4,4,2,695
кусоратуз,22,f65dfead26ad4c2e57bd1eead2691ef4,A,None,кусоратуз,filler,pseudoword,filler,None,None,9,None,768
рванина,31,23c9567b1be066e13f6bf264db637650,B,рв,рванина,nSSP,word,start,0.4,100.9,7,2,5196
ржавчина,31,23c9567b1be066e13f6bf264db637650,B,рж,ржавчина,nSSP,word,start,4.2,31.1,8,2,906
корова,31,23c9567b1be066e13f6bf264db637650,B,None,корова,filler,word,filler,44.8,None,6,None,929
абсурд,31,23c9567b1be066e13f6bf264db637650,B,рд,абсурд,SSP,word,end,9.1,132.5,6,2,893
дыня,31,23c9567b1be066e13f6bf264db637650,B,None,дыня,filler,word,filler,4.1,None,4,None,713
поезд,31,23c9567b1be066e13f6bf264db637650,B,зд,поезд,SSP,word,end,93.3,363.2,5,2,1208
центр,31,23c9567b1be066e13f6bf264db637650,B,нтр,центр,nSSP,word,end,265.9,281.5,5,3,672
бассейн,31,23c9567b1be066e13f6bf264db637650,B,йн,бассейн,SSP,word,end,33.4,77.5,7,2,674
вихрь,31,23c9567b1be066e13f6bf264db637650,B,хрь,вихрь,nSSP,word,end,9.7,9.7,5,2,624
склон,31,23c9567b1be066e13f6bf264db637650,B,скл,склон,SSP,word,start,26.3,262.9,5,3,566
лжец,31,23c9567b1be066e13f6bf264db637650,B,лж,лжец,nSSP,word,start,1.9,10.1,4,2,566
цилиндр,31,23c9567b1be066e13f6bf264db637650,B,ндр,цилиндр,nSSP,word,end,12.5,16.6,7,3,813
рубль,31,23c9567b1be066e13f6bf264db637650,B,бль,рубль,nSSP,word,end,296.4,416.2,5,2,632
порошок,31,23c9567b1be066e13f6bf264db637650,B,None,порошок,filler,word,filler,16.8,None,7,None,608
ртуть,31,23c9567b1be066e13f6bf264db637650,B,рт,ртуть,nSSP,word,start,3.7,7.9,5,2,525
ствол,31,23c9567b1be066e13f6bf264db637650,B,ств,ствол,SSP,word,start,49.5,61.9,5,3,580
город,31,23c9567b1be066e13f6bf264db637650,B,None,город,filler,word,filler,573.4,None,5,None,473
тембр,31,23c9567b1be066e13f6bf264db637650,B,мбр,тембр,nSSP,word,end,3.4,3.4,5,3,498
